id,en,zh_CN
config,config,设置
awaken,awaken,这是梦
qualia,qualia,感质空间
(exit game),(exit game),<退出游戏>
my qualia,my qualia,感质档案
start dreaming,start dreaming,进入梦境
how to play,how to play,操作方式
pick a graphics option,pick a graphics option,选择图形设置
confirm,confirm,确认
minimum,minimum,土豆
low,low,低
medium,medium,中等
high,high,高
save and quit,save and quit,保存并退出
resume,resume,返回
suspended,suspended,暂停
possessions,possessions,物品栏
cache cube,cache cube,缓存方块
cabinet,cabinet,储物柜
funnel,funnel,漏斗
crucible,crucible,坩埚
Display,Display,显示
Audio,Audio,音频
Controls,Controls,控制
visual quality,visual quality,画面质量
render distance,render distance,渲染距离
render scale,render scale,渲染倍率
fps limit,fps limit,帧率限制
fov,fov,视野范围
shadow quality,shadow quality,阴影质量
weather quality,weather quality,天气质量
fog quality,fog quality,雾气质量
pixelation,pixelation,像素化程度
brightness,brightness,亮度
vsync,vsync,垂直同步
camera shake,camera shake,镜头抖动
on-screen hand,on-screen hand,显示手部模型
hand tint,hand tint,手部色调
global lighting,global lighting,全局光照
indirect lighting,indirect lighting,间接光照
reflections,reflections,反射
ambient occlusion,ambient occlusion,环境光遮蔽
Bloom,Bloom,泛光
all volume,all volume,总音量
sfx volume,sfx volume,音效音量
music volume,music volume,音乐音量
ui sfx volume,ui sfx volume,界面音效音量
misophonia,misophonia,恐音症模式
general,general,常规
fly boost toggle,fly boost toggle,切换飞行加速
crouch toggle,crouch toggle,切换蹲伏
invert look y,invert look y,反转Y轴
left-handed,left-handed,左手模式
camera sensitivity,camera sensitivity,镜头灵敏度
cursor sensitivity,cursor sensitivity,指针灵敏度
save changes,save changes,保存更改
factory settings,factory settings,恢复默认设置
walk forwards,walk forwards,前移
walk left,walk left,左移
walk backwards,walk backwards,后移
walk right,walk right,右移
hit,hit,打击
act,act,互动
jump,jump,跳跃
fly boost,fly boost,飞行加速
crouch,crouch,蹲伏
drop item,drop item,丢下物品
inventory,inventory,物品
menu left,menu left,菜单左移
menu right,menu right,菜单右移
hotbar 1,hotbar 1,快捷栏 1
hotbar 2,hotbar 2,快捷栏 2
hotbar 3,hotbar 3,快捷栏 3
hotbar 4,hotbar 4,快捷栏 4
hotbar 5,hotbar 5,快捷栏 5
hotbar 6,hotbar 6,快捷栏 6
quick item move 1,quick item move 1,快捷移动物品 1
quick item move 2,quick item move 2,快捷移动物品 2
item collect,item collect,拾取物品
item half deposit,item half deposit,存入一半
show hud,show hud,显示 HUD
show stats,show stats,显示统计信息
fullscreen,fullscreen,全屏
hotbar next,hotbar next,下一个快捷栏
hotbar back,hotbar back,上一个快捷栏
new qualia,new qualia,新感质
create new qualia,create new qualia,创建新感质
qualia config,qualia config,感质配置
(divine),(divine),（成神）
(wrath),(wrath),（狂怒）
(turvy),(turvy),（颠倒）
yes,yes,是
clear,clear,清除
accept,accept,接受
enter a name...,enter a name...,输入名称
instance new qualia,instance new qualia,创造新空间
dreams,dreams,梦境
qualia name,qualia name,感质名称
Appearance,Appearance,万象
Experience,Experience,体验
seed,seed,种子
starting kit,starting kit,初始套装
divine,divine,成为神
turvy,turvy,颠倒世界
wrathful,wrathful,狂怒
"warning: ""divine"" will permanently disable achievements and progression for this qualia
","warning: ""divine"" will permanently disable achievements and progression for this qualia
",注意：选择“成为神”将永久禁用该感质的成就与进度。
Delete,Delete,删除
cancel,cancel,取消
